file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,161,css,7ac5671a,Hana Julia Tjendrawasi,2025-01-16,12:06:08,-08:00,2025-01-16T12:06:08-08:00,0,76
style.css,162,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,163,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,164,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,14
style.css,165,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,15
style.css,166,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,9
style.css,167,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,11
style.css,168,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,15
style.css,169,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,42
style.css,170,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,171,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,172,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,21
style.css,173,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,19
style.css,174,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,16
style.css,175,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,15
style.css,176,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,22
style.css,177,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,18
style.css,178,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,23
style.css,179,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,12
style.css,180,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,181,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,182,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,36
style.css,183,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,22
style.css,184,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,12
